viallabel	sex	group	key.anirandgroup	intervention	sacrificetime
90217013001	male	control	Eight-week program Control Group	control	8w
90217013104	male	control	Eight-week program Control Group	control	8w
90217013105	male	control	Eight-week program Control Group	control	8w
90217013106	male	control	Eight-week program Control Group	control	8w
90217013107	male	control	Eight-week program Control Group	control	8w
90217013108	male	control	Eight-week program Control Group	control	8w
90217013109	male	control	Eight-week program Control Group	control	8w
90217013110	male	control	Eight-week program Control Group	control	8w
90217013111	male	control	Eight-week program Control Group	control	8w
90217015202	male	control	Eight-week program Control Group	control	8w
90217015203	male	control	Eight-week program Control Group	control	8w
90217015204	male	control	Eight-week program Control Group	control	8w
90217015205	male	control	Eight-week program Control Group	control	8w
90217015206	male	control	Eight-week program Control Group	control	8w
90217015207	male	control	Eight-week program Control Group	control	8w
90217015208	male	control	Eight-week program Control Group	control	8w
90217015209	male	control	Eight-week program Control Group	control	8w
90217015210	male	control	Eight-week program Control Group	control	8w
90217015302	male	control	Eight-week program Control Group	control	8w
90217015303	male	control	Eight-week program Control Group	control	8w
90217015304	male	control	Eight-week program Control Group	control	8w
90217015305	male	control	Eight-week program Control Group	control	8w
90217015306	male	control	Eight-week program Control Group	control	8w
90217015402	male	control	Eight-week program Control Group	control	8w
90217015503	male	control	Eight-week program Control Group	control	8w
90217015504	male	control	Eight-week program Control Group	control	8w
90217015505	male	control	Eight-week program Control Group	control	8w
90217015507	male	control	Eight-week program Control Group	control	8w
90217015508	male	control	Eight-week program Control Group	control	8w
90217015509	male	control	Eight-week program Control Group	control	8w
90217015510	male	control	Eight-week program Control Group	control	8w
90217015511	male	control	Eight-week program Control Group	control	8w
90217015512	male	control	Eight-week program Control Group	control	8w
90217015514	male	control	Eight-week program Control Group	control	8w
90217015515	male	control	Eight-week program Control Group	control	8w
90217015516	male	control	Eight-week program Control Group	control	8w
90217015603	male	control	Eight-week program Control Group	control	8w
90217015604	male	control	Eight-week program Control Group	control	8w
90217015605	male	control	Eight-week program Control Group	control	8w
90217015606	male	control	Eight-week program Control Group	control	8w
90217015802	male	control	Eight-week program Control Group	control	8w
90217015803	male	control	Eight-week program Control Group	control	8w
90217015804	male	control	Eight-week program Control Group	control	8w
90217015805	male	control	Eight-week program Control Group	control	8w
90217015806	male	control	Eight-week program Control Group	control	8w
90217015807	male	control	Eight-week program Control Group	control	8w
